iter	Passed	Remaining
0	3	311
1	6	297
2	7	253
3	9	218
4	10	208
5	12	196
6	14	189
7	16	185
8	20	206
9	22	204
10	24	201
11	28	207
12	30	202
13	32	201
14	35	200
15	37	194
16	39	190
17	40	184
18	42	180
19	44	176
20	48	184
21	50	179
22	52	174
23	54	172
24	56	168
25	57	164
26	59	160
27	62	160
28	63	156
29	65	152
30	67	150
31	71	151
32	73	148
33	75	146
34	77	143
35	79	140
36	80	137
37	82	134
38	84	131
39	85	128
40	87	126
41	88	122
42	89	119
43	91	116
44	92	113
45	94	110
46	95	107
47	96	104
48	98	102
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	108	88
55	109	86
56	110	83
57	112	81
58	113	79
59	115	76
60	116	74
61	118	72
62	119	69
63	120	67
64	122	65
65	123	63
66	124	61
67	125	59
68	127	57
69	127	54
70	130	53
71	132	51
72	133	49
73	135	47
74	136	45
75	138	43
76	140	41
77	141	40
78	143	38
79	145	36
80	146	34
81	148	32
82	149	30
83	151	28
84	154	27
85	156	25
86	164	24
87	166	22
88	167	20
89	168	18
90	170	16
91	171	14
92	174	13
93	175	11
94	177	9
95	178	7
96	180	5
97	181	3
98	182	1
99	184	0
